통계표명:,소비자물가상승률,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단위:,"전년비,전년동월비, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2003
01월","2003
02월","2003
03월","2003
04월","2003
05월","2003
06월","2003
07월","2003
08월","2003
09월","2003
10월","2003
11월","2003
12월","2004
01월","2004
02월","2004
03월","2004
04월","2004
05월","2004
06월","2004
07월","2004
08월","2004
09월","2004
10월","2004
11월","2004
12월","2005
01월","2005
02월","2005
03월","2005
04월","2005
05월","2005
06월","2005
07월","2005
08월","2005
09월","2005
10월","2005
11월","2005
12월","2006
01월","2006
02월","2006
03월","2006
04월","2006
05월","2006
06월","2006
07월","2006
08월","2006
09월","2006
10월","2006
11월","2006
12월","2007
01월","2007
02월","2007
03월","2007
04월","2007
05월","2007
06월","2007
07월","2007
08월","2007
09월","2007
10월","2007
11월","2007
12월","2008
01월","2008
02월","2008
03월","2008
04월","2008
05월","2008
06월","2008
07월","2008
08월","2008
09월","2008
10월","2008
11월","2008
12월","2009
01월","2009
02월","2009
03월","2009
04월","2009
05월","2009
06월","2009
07월","2009
08월","2009
09월","2009
10월","2009
11월","2009
12월","2010
01월","2010
02월","2010
03월","2010
04월","2010
05월","2010
06월","2010
07월","2010
08월","2010
09월","2010
10월","2010
11월","2010
12월","2011
01월","2011
02월","2011
03월","2011
04월","2011
05월","2011
06월","2011
07월","2011
08월","2011
09월","2011
10월","2011
11월","2011
12월","2012
01월","2012
02월","2012
03월","2012
04월","2012
05월","2012
06월","2012
07월","2012
08월","2012
09월","2012
10월","2012
11월","2012
12월","2013
01월","2013
02월","2013
03월","2013
04월","2013
05월","2013
06월","2013
07월","2013
08월","2013
09월","2013
10월","2013
11월","2013
12월","2014
01월","2014
02월","2014
03월","2014
04월","2014
05월","2014
06월","2014
07월","2014
08월","2014
09월","2014
10월","2014
11월","2014
12월","2015
01월","2015
02월","2015
03월","2015
04월","2015
05월","2015
06월","2015
07월","2015
08월","2015
09월","2015
10월","2015
11월","2015
12월","2016
01월","2016
02월","2016
03월","2016
04월","2016
05월","2016
06월","2016
07월","2016
08월","2016
09월","2016
10월","2016
11월","2016
12월","2017
01월","2017
02월","2017
03월","2017
04월","2017
05월","2017
06월","2017
07월","2017
08월","2017
09월","2017
10월","2017
11월","2017
12월"
소비자물가,3.8,3.9,4.5,3.7,3.2,3,3.2,3,3.3,3.7,3.4,3.4,3.4,3.3,3.1,3.3,3.3,3.6,4.4,4.8,3.9,3.8,3.3,3,3.4,3.4,3,3.1,3.1,2.8,2.6,2,2.5,2.3,2.5,2.6,2.2,2,2,2,2.3,2.4,2.4,2.7,2.5,2.2,2.1,2.1,1.7,2.2,2.2,2.5,2.3,2.5,2.5,2,2.3,3,3.5,3.6,3.9,3.6,3.9,4.1,4.9,5.5,5.9,5.6,5.1,4.8,4.5,4.1,3.7,4.1,3.9,3.6,2.7,2,1.6,2.2,2.2,2,2.4,2.8,3.5,3,2.5,2.6,2.7,2.7,2.5,2.7,3.4,3.7,3,3,3.4,3.9,4.1,3.8,3.9,4.2,4.5,4.7,3.8,3.6,4.2,4.2,3.4,3,2.7,2.6,2.5,2.2,1.5,1.3,2.1,2.1,1.6,1.4,1.6,1.6,1.5,1.3,1.2,1.2,1.6,1.5,1,0.9,1.2,1.1,1.1,1,1.3,1.5,1.7,1.7,1.6,1.4,1.1,1.1,1,0.8,1,0.6,0.5,0.4,0.6,0.7,0.7,0.7,0.5,0.8,0.8,1.1,0.6,1.1,0.8,1,0.8,0.7,0.4,0.5,1.3,1.5,1.5,1.3,2,1.9,2.2,1.9,2,1.9,2.2,2.6,2.1,1.8,1.3,1.5
-?농축수산물,6.8,3.8,7.9,5.4,1.9,1,3.4,2.1,5,13.2,11.9,8.9,8.2,8.7,8.9,9.8,10.3,11.8,14.1,16.3,8.6,5.3,3.1,3.2,3.7,5.2,2.9,4.2,4,1.8,1.7,-2.7,0.8,0.4,-0.9,1.9,2.4,-1.2,-1.6,-2.7,-2.4,-1,-2.3,3.2,1.3,0.1,1.6,1.4,-0.8,3.4,1.6,1.7,1.8,2.4,3.5,-2.6,0.7,4.4,4.5,2.6,1.9,-0.6,-1.3,-0.2,1.2,1.3,1.4,3.5,-0.9,-3.3,0.8,2.5,5.9,5.4,10.1,12.2,10.8,6.6,5.7,4.9,4.4,5.5,2.8,3.4,3.4,5.2,4.3,4.6,4.7,7.2,7.1,10,20.3,21.6,18,14.8,16.3,17.1,14.6,9.5,7.2,10.7,12.4,13.3,3.4,-0.9,3.4,5.8,3.8,0.1,2.9,4,7,5.1,1.1,-1.8,4.7,6.2,3.2,2,2.6,4.1,-0.1,0.9,-0.8,-1.8,0.9,3.1,-3.4,-5.2,-3.6,-4.2,-5.6,-5.4,-3.1,-3.5,-2,-1,-2.2,-4.8,-3,-1.9,-0.1,1,1.7,1.8,-0.1,0.2,2.7,3.6,3,2.7,1.3,3,1.3,2.7,1.5,5,4.6,4.3,0.6,-1.4,-0.3,0.5,9.1,7.7,8,6.7,8.5,4.3,5.8,4.5,6.2,7.6,8.6,12.2,4.8,3,0.7,0.5
-?공업제품,4.2,4.5,4.8,2.9,2.5,2,1.8,1.9,1.6,0.6,0.3,1.4,1.5,0.9,0.9,1.8,2.1,2.5,3.2,3.6,3.8,4.3,4,2.8,3.8,3.6,3.7,4,3.7,3.4,3.6,3.5,3.9,3.6,3.7,3.9,2.5,2.4,2,2.1,3,2.8,2.8,2.6,1.7,0.8,0.8,0.7,0.5,0.6,1.1,1.6,1.1,1.6,1.4,1.4,1.8,2.8,4.1,4.8,5.7,5.6,6.3,6.7,8.5,10.5,11.4,9.7,9.3,9.1,6.3,4.9,3.3,5,4.7,3.4,1.4,0.3,-0.3,1.4,1.8,1.1,3.7,4.6,6.1,4.1,3.4,3.8,3.8,2.9,2.7,2.5,2,2.7,1.6,2.6,3,3.7,4.5,4.3,4.8,4.9,5.3,5.4,5.7,5.7,6.4,5.3,4.5,4.7,4.1,3.9,3.5,3,1.3,1.6,2.4,2.2,1.5,1.3,1.1,0.7,0.7,0.1,-0.1,0.5,1.6,0.8,0.9,1.1,1.6,1.6,1.7,1.7,1.6,2,2.2,1.9,1.9,2.1,0.9,0.6,-0.1,-0.6,0.2,-0.8,-0.4,-0.5,-0.3,0,-0.1,-0.1,-0.5,-0.4,-0.1,0.3,-1.1,-0.7,-1.4,-0.7,-0.9,-0.6,-0.8,-0.7,0,0.4,0.2,0.6,1.6,2.4,2.4,1.5,1.4,0.9,0.7,1,1.2,1.5,1.4,1.5
-?집세,4.6,4.4,4.3,4,3.8,3.6,3.3,3.2,3.1,2.9,2.9,2.8,2.8,2.7,2.3,2.1,1.8,1.6,1.5,1.3,1,0.9,0.7,0.4,0.3,0.2,0.1,-0.1,-0.2,-0.4,-0.5,-0.5,-0.6,-0.4,-0.4,-0.3,-0.3,-0.2,-0.1,0,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2,1.8,1.9,1.9,1.9,1.9,2,2.1,2.2,2.4,2.4,2.4,2.4,2.6,2.5,2.4,2.3,2.1,1.9,1.7,1.7,1.4,1.3,1.3,1.3,1.1,1.1,1.2,1.3,1.5,1.6,1.7,1.7,1.9,2,1.9,2,2.2,2.3,2.4,2.5,2.6,3.1,3.4,3.7,4,4.1,4.4,4.6,4.9,5.1,5,5.1,5,4.9,4.8,4.6,4.3,4.2,4,3.8,3.5,3.3,3.2,3.1,3,2.8,2.7,2.6,2.6,2.5,2.6,2.6,2.6,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.2,2.2,2.2,2.2,2.7,2.6,2.5,2.4,2.5,2.5,2.6,2.6,2.6,2.5,2.5,2.5,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.2
-?공공서비스,-0.3,1.2,2.4,3.1,2.8,3.6,3.7,3.4,3.2,2.6,2.5,2,1.9,3.1,1.8,1,1,1,2.1,2.6,2.8,3.9,4.1,4.7,5,4.2,3.8,3.3,3.6,3.6,3,2.8,2.8,2.1,2.5,1.7,2.2,2.6,2.6,3.4,3.2,3.2,3.6,3.6,4.8,4.8,3.8,3.9,2.9,2.6,2.6,3.2,3.6,3.5,3.1,3.1,2.6,2.6,3.4,3.3,3,3.3,3.3,3,2.5,2.5,2.2,2.3,1.6,1.8,2.1,1.8,2.2,1.8,1.8,1.6,1.6,1.7,2.3,2.4,2.4,2.3,1.5,1.8,2,2.1,1.7,1.5,1.6,1.4,0.8,0.8,0.8,0.7,0.7,0.6,0.4,0.3,-0.4,-0.4,-0.4,-0.4,-0.2,-0.2,-0.9,-1,-1.2,-0.8,-0.6,-0.5,0.7,0.6,0.6,0.8,0.3,0.3,1,1.1,1.3,1,1,1,0.8,0.8,0.9,0.7,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,1.1,0.8,0.9,0.8,0.8,0.6,0.5,0.4,0.6,0.7,0.7,0.7,1.7,2,1.8,1.8,1.8,1.9,2,2.1,1.9,1.9,1.9,1.9,1,1,1,0.9,0.9,0.9,1.1,1.1,1,1.1,1.1,1,1,0.9,1,0.9,0.8,0.8
-?개인서비스,4.2,4.1,4.3,4.3,4.4,4.4,4.6,4.6,4.6,4.6,4.6,4.7,4.5,4.3,4.3,4.2,4.2,4.2,4.3,4.1,4,3.9,3.8,3.7,3.8,3.9,3.4,3.3,3.2,3,2.7,2.9,3,2.9,3,2.9,2.7,2.9,3,3,3.1,3.3,3.3,3.1,2.9,3,2.9,2.9,2.9,3.1,3.3,3.1,3.1,3,3.1,3.2,3.2,3.3,3.2,3.3,3.6,3.5,3.9,4.1,4.4,4.8,5,5.2,5.3,5.4,5.5,5.4,4.8,4.4,3.2,3.2,2.9,2.6,2.3,2.2,2.1,2,2,2,2.2,2.5,1.9,1.9,2.1,2,2.2,2.3,2.3,2.3,2.4,2.2,2.7,3.1,3.8,3.9,3.9,4,3.9,3.9,3.9,4,3.7,3.8,3.1,2.6,0.8,0.7,0.6,0.6,0.7,0.8,0.6,0.7,0.8,0.8,1.3,1.4,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.4,1.4,1.2,1.2,0.9,1.6,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.8,2,2,2.2,2.5,2.7,2.7,2.5,2.8,2.8,2.8,2.9,2.9,2.7,2.7,2.7,2.8,2.7,2.7,2.8,2.4,2.3,2.4,2.3,2.3,2.7,2.4,2.4
근원물가,3.1,3,3.4,3.2,3.1,3.3,3.1,3.2,3.1,2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.7,3.1,3.2,3.2,3.4,3.1,2.9,3.3,3.4,2.8,2.7,2.6,2.3,2.1,1.9,1.8,1.7,1.9,1.8,1.3,1.3,1.4,1.5,1.8,1.9,2.1,2.1,2,2,2.1,2.1,2.1,2.3,2.4,2.6,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.8,2.8,3.3,3.5,3.9,4.3,4.6,4.7,5.1,5.2,5.3,5.6,5.2,5.2,4.5,4.2,3.9,3.5,3.2,3.1,2.7,2.6,2.5,2.2,2.3,2.1,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.7,1.5,1.7,2.1,2.6,3,3,3.2,3.5,3.6,3.5,3.3,3.2,3.5,3.6,3.1,2.5,1.9,1.7,1.6,1.5,1.2,1.2,1.5,1.6,1.4,1.1,1.3,1.4,1.6,1.6,1.7,1.6,1.7,1.5,1.7,1.8,2,1.9,1.7,1.7,2.1,2.3,2.2,2.1,2.2,2.4,1.9,1.8,1.6,1.6,2.6,2.4,2.2,2.1,2.1,2,2.1,2.1,2,2.2,2.2,2.3,1.6,1.7,1.7,1.9,0.4,1.8,1.3,1.3,1.5,1.8,1.6,1.2,1.5,1.5,1.4,1.3,1.4,1.4,1.8,1.8,1.6,1.3,1.2,1.5
생활물가,4,4.2,5.5,4.3,3.1,3.1,3.7,3.5,3.8,4.8,4.2,4.2,4.3,4.2,3.8,4.1,4.6,4.9,5.8,6.7,5.7,5.5,5,4.5,5.1,4.9,4.3,4.7,4.6,4.2,4,2.8,3.5,3.3,3.5,3.9,3.4,3.1,2.8,2.9,3.1,3.4,3.2,3.8,3.5,2.7,2.6,2.6,1.9,2.4,2.5,2.9,3.1,3.2,3.3,2.4,2.7,3.9,4.9,4.8,5.1,4.6,4.9,5.1,5.9,7,7.1,6.6,5.5,4.8,4,3,2.8,3.3,3.1,3,1.8,0.5,0.3,1.3,1.7,1.5,2.3,3.3,4.2,3.8,3,2.9,3.1,2.9,2.7,2.8,3.9,4.4,3.4,3.5,4.1,4.6,4.7,4.1,4,4.5,4.9,5.2,3.8,3.6,4.5,4.4,3.1,2.6,2.1,2.1,2.2,1.8,0.8,0.6,1.8,1.7,1,0.8,1.1,1.2,1,0.9,0.5,0.6,1.1,1.1,0.2,0,0.5,0.5,0.6,0.4,0.8,1,1.4,1.4,1.4,0.8,0.6,0.7,0.7,0.3,-0.3,-0.6,-0.6,-0.7,-0.5,-0.1,-0.1,-0.1,-0.3,0.1,0.1,0.5,0.4,1,0.5,0.6,1.8,0.3,0.3,-0.2,1,1.4,1.6,1.2,2.4,2.3,2.8,2.5,2.5,2.3,3.1,3.7,2.9,2,1.3,1.6
