통계표명:,청년 고용동향,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단위:,"%, 천명",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2003
01월","2003
02월","2003
03월","2003
04월","2003
05월","2003
06월","2003
07월","2003
08월","2003
09월","2003
10월","2003
11월","2003
12월","2004
01월","2004
02월","2004
03월","2004
04월","2004
05월","2004
06월","2004
07월","2004
08월","2004
09월","2004
10월","2004
11월","2004
12월","2005
01월","2005
02월","2005
03월","2005
04월","2005
05월","2005
06월","2005
07월","2005
08월","2005
09월","2005
10월","2005
11월","2005
12월","2006
01월","2006
02월","2006
03월","2006
04월","2006
05월","2006
06월","2006
07월","2006
08월","2006
09월","2006
10월","2006
11월","2006
12월","2007
01월","2007
02월","2007
03월","2007
04월","2007
05월","2007
06월","2007
07월","2007
08월","2007
09월","2007
10월","2007
11월","2007
12월","2008
01월","2008
02월","2008
03월","2008
04월","2008
05월","2008
06월","2008
07월","2008
08월","2008
09월","2008
10월","2008
11월","2008
12월","2009
01월","2009
02월","2009
03월","2009
04월","2009
05월","2009
06월","2009
07월","2009
08월","2009
09월","2009
10월","2009
11월","2009
12월","2010
01월","2010
02월","2010
03월","2010
04월","2010
05월","2010
06월","2010
07월","2010
08월","2010
09월","2010
10월","2010
11월","2010
12월","2011
01월","2011
02월","2011
03월","2011
04월","2011
05월","2011
06월","2011
07월","2011
08월","2011
09월","2011
10월","2011
11월","2011
12월","2012
01월","2012
02월","2012
03월","2012
04월","2012
05월","2012
06월","2012
07월","2012
08월","2012
09월","2012
10월","2012
11월","2012
12월","2013
01월","2013
02월","2013
03월","2013
04월","2013
05월","2013
06월","2013
07월","2013
08월","2013
09월","2013
10월","2013
11월","2013
12월","2014
01월","2014
02월","2014
03월","2014
04월","2014
05월","2014
06월","2014
07월","2014
08월","2014
09월","2014
10월","2014
11월","2014
12월","2015
01월","2015
02월","2015
03월","2015
04월","2015
05월","2015
06월","2015
07월","2015
08월","2015
09월","2015
10월","2015
11월","2015
12월","2016
01월","2016
02월","2016
03월","2016
04월","2016
05월","2016
06월","2016
07월","2016
08월","2016
09월","2016
10월","2016
11월","2016
12월","2017
01월","2017
02월","2017
03월","2017
04월","2017
05월","2017
06월","2017
07월","2017
08월","2017
09월","2017
10월","2017
11월","2017
12월"
생산가능인구,"10,490","10,467","10,444","10,424","10,405","10,379","10,360","10,334","10,311","10,289","10,265","10,244","10,232","10,215","10,197","10,179","10,161","10,148","10,137","10,120","10,103","10,086","10,065","10,043","10,019","9,998","9,974","9,949","9,926","9,905","9,898","9,891","9,883","9,874","9,866","9,853","9,850","9,845","9,839","9,836","9,835","9,835","9,843","9,848","9,847","9,849","9,845","9,842","9,848","9,849","9,853","9,855","9,863","9,872","9,866","9,861","9,855","9,853","9,846","9,839","9,846","9,840","9,833","9,827","9,821","9,816","9,819","9,816","9,813","9,810","9,811","9,809","9,824","9,814","9,803","9,794","9,789","9,783","9,778","9,774","9,764","9,755","9,747","9,739","9,760","9,747","9,736","9,724","9,720","9,712","9,707","9,696","9,680","9,667","9,659","9,657","9,649","9,637","9,628","9,614","9,614","9,596","9,583","9,572","9,552","9,538","9,532","9,550","9,548","9,539","9,528","9,513","9,512","9,495","9,499","9,502","9,502","9,504","9,514","9,548","9,540","9,549","9,545","9,546","9,550","9,558","9,556","9,552","9,548","9,544","9,543","9,540","9,530","9,527","9,519","9,512","9,507","9,501","9,496","9,497","9,493","9,485","9,483","9,480","9,482","9,488","9,490","9,495","9,499","9,502","9,495","9,489","9,484","9,477","9,470","9,465","9,453","9,451","9,452","9,448","9,449","9,444","9,432","9,421","9,410","9,400","9,390","9,379","9,402","9,395","9,388","9,380","9,376","9,365","9,349","9,335","9,320","9,311","9,301","9,286"
경제활동인구,"5,136","5,115","4,999","4,965","4,959","4,977","5,172","4,993","4,849","4,901","4,949","5,066","5,129","5,073","4,991","4,956","5,005","4,991","5,124","4,857","4,916","4,930","4,930","4,978","5,008","4,963","4,894","4,854","4,858","4,851","5,004","4,769","4,686","4,718","4,699","4,730","4,809","4,717","4,642","4,632","4,622","4,626","4,783","4,587","4,518","4,528","4,550","4,596","4,674","4,597","4,479","4,516","4,540","4,548","4,697","4,512","4,411","4,446","4,502","4,438","4,541","4,437","4,395","4,421","4,461","4,453","4,536","4,403","4,284","4,278","4,291","4,283","4,334","4,287","4,238","4,326","4,376","4,407","4,469","4,316","4,211","4,167","4,246","4,270","4,403","4,332","4,210","4,271","4,301","4,305","4,448","4,205","4,131","4,102","4,133","4,206","4,283","4,220","4,189","4,199","4,240","4,217","4,361","4,214","4,090","4,110","4,110","4,154","4,238","4,212","4,166","4,214","4,253","4,191","4,313","4,133","4,045","4,017","4,033","4,059","4,129","4,092","4,037","4,064","4,133","4,149","4,248","4,121","4,132","4,092","4,125","4,163","4,263","4,342","4,172","4,243","4,215","4,271","4,395","4,318","4,223","4,186","4,198","4,230","4,313","4,383","4,254","4,347","4,369","4,384","4,442","4,335","4,296","4,268","4,304","4,325","4,356","4,477","4,395","4,428","4,469","4,533","4,533","4,462","4,413","4,353","4,285","4,332","4,297","4,459","4,424","4,494","4,488","4,507","4,518","4,442","4,369","4,301","4,292","4,299"
취업자,"4,686","4,655","4,578","4,586","4,584","4,596","4,763","4,623","4,514","4,534","4,542","4,614","4,652","4,591","4,535","4,557","4,598","4,592","4,718","4,487","4,570","4,555","4,551","4,534","4,554","45,514","4,464","4,458","4,499","4,475","4,588","4,415","4,351","4,378","4,355","4,354","4,425","4,307","4,250","4,263","4,292","4,258","4,400","4,250","4,191","4,164","4,207","4,234","4,328","4,239","4,145","4,171","4,222","4,220","4,341","4,210","4,104","4,156","4,180","4,113","4,217","4,111","4,062","4,091","4,154","4,106","4,202","4,091","4,021","3,994","4,000","3,959","3,977","3,915","3,863","3,978","4,042","4,035","4,090","3,965","3,891","3,855","3,921","3,946","3,991","3,900","3,831","3,905","4,027","3,950","4,072","3,910","3,833","3,814","3,868","3,870","3,920","3,863","3,793","3,832","3,930","3,897","4,028","3,950","3,834","3,834","3,832","3,833","3,899","3,862","3,818","3,857","3,911","3,868","3,998","3,868","3,775","3,741","3,762","3,755","3,817","3,721","3,691","3,724","3,826","3,822","3,897","3,808","3,813","3,773","3,816","3,808","3,891","3,869","3,760","3,817","3,849","3,864","4,004","3,955","3,865","3,850","3,865","3,849","3,918","3,899","3,799","3,902","3,963","3,935","4,026","3,990","3,956","3,951","3,955","3,959","3,942","3,916","3,875","3,945","4,036","4,066","4,114","4,046","3,997","3,982","3,936","3,967","3,929","3,911","3,924","3,989","4,070","4,032","4,099","4,025","3,967","3,930","3,897","3,904"
실업자,450,460,421,379,375,381,409,370,335,367,407,452,477,482,456,399,407,399,405,370,346,375,380,444,463,449,431,396,360,376,416,354,336,340,344,376,383,410,393,369,330,369,383,337,328,364,343,362,346,359,334,345,318,328,356,302,308,290,321,324,324,326,333,330,307,346,334,312,263,284,291,324,356,372,375,348,333,372,379,352,320,311,325,324,411,433,379,366,274,355,376,295,298,288,266,336,363,357,397,366,311,320,332,265,256,276,279,321,339,350,347,357,342,323,314,265,270,276,271,304,311,371,346,340,307,327,352,313,320,318,309,355,372,473,412,426,366,407,391,364,358,336,332,381,395,484,455,445,406,449,416,345,341,318,349,365,413,560,520,484,433,467,419,416,416,371,349,366,368,548,501,505,419,475,420,417,402,371,395,395
실업률,8.8,9.0,8.4,7.6,7.6,7.7,7.9,7.4,6.9,7.5,8.2,8.9,9.3,9.5,9.1,8.0,8.1,8.0,7.9,7.6,7.0,7.6,7.7,8.9,9.3,9.0,8.8,8.2,7.4,7.8,8.3,7.4,7.2,7.2,7.3,7.9,8.0,8.7,8.5,8.0,7.1,8.0,8.0,7.3,7.3,8.0,7.5,7.9,7.4,7.8,7.5,7.6,7.0,7.2,7.6,6.7,7.0,6.5,7.1,7.3,7.1,7.3,7.6,7.5,6.9,7.8,7.4,7.1,6.1,6.6,6.8,7.6,8.2,8.7,8.8,8.0,7.6,8.4,8.5,8.2,7.6,7.5,7.7,7.6,9.3,10.0,9.0,8.6,6.4,8.3,8.5,7.0,7.2,7.0,6.4,8.0,8.5,8.5,9.5,8.7,7.3,7.6,7.6,6.3,6.3,6.7,6.8,7.7,8.0,8.3,8.3,8.5,8.0,7.7,7.3,6.4,6.7,6.9,6.7,7.5,7.5,9.1,8.6,8.4,7.4,7.9,8.3,7.6,7.7,7.8,7.5,8.5,8.7,10.9,9.9,10.0,8.7,9.5,8.9,8.4,8.5,8.0,7.9,9.0,9.2,11.1,10.7,10.2,9.3,10.2,9.4,8.0,7.9,7.4,8.1,8.4,9.5,12.5,11.8,10.9,9.7,10.3,9.2,9.3,9.4,8.5,8.2,8.4,8.6,12.3,11.3,11.2,9.3,10.5,9.3,9.4,9.2,8.6,9.2,9.2
고용률,44.7,44.5,43.8,44.0,44.1,44.3,46.0,44.7,43.8,44.1,44.2,45.0,45.5,44.9,44.5,44.8,45.2,45.2,46.5,44.3,45.2,45.2,45.2,45.1,45.4,45.1,44.8,44.8,45.3,45.2,46.4,44.6,44.0,44.3,44.1,44.2,44.9,43.7,43.2,43.3,43.6,43.3,44.7,43.2,42.6,42.3,42.7,43.0,43.9,43.0,42.1,42.3,42.8,42.7,44.0,42.7,41.6,42.2,42.5,41.8,42.8,41.8,41.3,41.6,42.3,41.8,42.8,41.7,41.0,40.7,40.8,40.4,40.5,39.9,39.4,40.6,41.3,41.2,41.8,40.6,39.8,39.5,40.2,40.5,40.9,40.0,39.3,40.2,41.4,40.7,41.9,40.3,39.6,39.5,40.0,40.1,40.6,40.1,39.4,39.9,40.9,40.6,42.0,41.3,40.1,40.2,40.2,40.1,40.8,40.5,40.1,40.5,41.1,40.7,42.1,40.7,39.7,39.4,39.5,39.3,40.0,39.0,38.7,39.0,40.1,40.0,40.8,39.9,39.9,39.5,40.0,39.9,40.8,40.6,39.5,40.1,40.5,40.7,42.2,41.6,40.7,40.6,40.8,40.6,41.3,41.1,40.0,41.1,41.7,41.4,42.4,42.0,41.7,41.7,41.8,41.8,41.7,41.4,41.0,41.8,42.7,43.1,43.6,42.9,42.5,42.4,41.9,42.3,41.8,41.6,41.8,42.5,43.4,43.1,43.8,43.1,42.6,42.2,41.9,42.0
경제활동참가율,49.0,48.9,47.9,47.6,47.7,48.0,49.9,48.3,47.0,47.6,48.2,49.5,50.1,49.7,48.9,48.7,49.3,49.2,50.5,48.0,48.7,48.9,49.0,49.6,50.0,49.6,49.1,48.8,48.9,49.0,50.6,48.2,47.4,47.8,47.6,48.0,48.8,47.9,47.2,47.1,47.0,47.0,48.6,46.6,45.9,46.0,46.2,46.2,47.5,46.7,45.5,45.8,46.0,46.1,47.6,45.8,44.8,45.1,45.7,45.1,46.1,45.1,44.7,45.0,45.4,45.4,46.2,44.9,43.7,43.6,43.7,43.7,44.1,43.7,43.2,44.2,44.7,45.0,45.7,44.2,43.1,42.7,43.6,43.8,45.1,44.4,43.2,43.9,44.3,44.3,45.8,43.4,42.7,42.4,42.8,43.6,44.4,43.8,43.5,43.7,44.1,43.9,45.5,44.0,42.8,43.1,43.1,43.5,44.4,44.2,43.7,44.3,44.7,44.1,45.4,43.5,42.6,42.3,42.4,42.5,43.3,42.9,42.3,42.6,43.3,43.4,44.5,43.1,43.3,42.9,43.2,44.7,44.7,45.6,43.8,44.6,44.3,44.9,46.3,45.5,44.5,44.1,44.3,44.6,45.5,46.2,44.8,45.8,46.0,46.1,46.8,45.7,45.3,45.0,45.4,45.7,46.1,47.4,46.5,46.9,47.3,48.0,48.1,47.4,46.9,46.3,45.6,46.2,45.7,47.5,47.1,47.9,47.9,48.1,48.3,47.6,46.9,46.2,46.2,46.3
